Act,Player,Line,PlayerLine,PlayerPercent
1,ABRAHAM,5,5,100.0
1,BENVOLIO,34,34,53.125
1,CAPULET,14,14,28.000000000000004
1,FIRST CITIZEN,1,1,33.33333333333333
1,FIRST SERVANT,3,3,75.0
1,GREGORY,15,15,100.0
1,JULIET,16,16,13.559322033898304
1,LADY CAPULET,12,12,27.27272727272727
1,LADY MONTAGUE,2,2,100.0
1,MERCUTIO,11,11,17.741935483870968
1,MONTAGUE,6,6,60.0
1,NURSE,20,20,22.22222222222222
1,PARIS,2,2,8.695652173913043
1,PRINCE,1,1,6.25
1,RICHMOND,1,1,100.0
1,ROMEO,50,50,30.67484662576687
1,SAMPSON,20,20,100.0
1,SECOND CAPULET,2,2,100.0
1,SECOND SERVANT,3,3,50.0
1,SERVANT,10,10,100.0
1,TYBALT,8,8,47.05882352941176
2,BENVOLIO,16,16,25.0
2,CHORUS,1,1,100.0
2,FRIAR LAURENCE,14,14,25.454545454545453
2,JULIET,40,40,33.89830508474576
2,MERCUTIO,34,34,54.83870967741935
2,NURSE,32,32,35.55555555555556
2,PETER,3,3,23.076923076923077
2,ROMEO,65,65,39.87730061349693
3,BENVOLIO,14,14,21.875
3,CAPULET,12,12,24.0
3,FIRST CITIZEN,2,2,66.66666666666666
3,FRIAR LAURENCE,15,15,27.27272727272727
3,JULIET,40,40,33.89830508474576
3,LADY CAPULET,19,19,43.18181818181818
3,MERCUTIO,17,17,27.419354838709676
3,MONTAGUE,1,1,10.0
3,NURSE,27,27,30.0
3,PARIS,3,3,13.043478260869565
3,PRINCE,4,4,25.0
3,ROMEO,34,34,20.858895705521473
3,TYBALT,9,9,52.94117647058824
4,CAPULET,20,20,40.0
4,FIRST MUSICIAN,9,9,100.0
4,FIRST SERVANT,1,1,25.0
4,FRIAR LAURENCE,12,12,21.818181818181817
4,JULIET,19,19,16.101694915254235
4,LADY  CAPULET,1,1,100.0
4,LADY CAPULET,11,11,25.0
4,MUSICIAN,1,1,100.0
4,NURSE,11,11,12.222222222222221
4,PARIS,13,13,56.52173913043478
4,PETER,10,10,76.92307692307693
4,SECOND MUSICIAN,3,3,100.0
4,SECOND SERVANT,3,3,50.0
4,THIRD MUSICIAN,1,1,100.0
5,APOTHECARY,4,4,100.0
5,BALTHASAR,12,12,100.0
5,CAPULET,4,4,8.0
5,FIRST WATCHMAN,6,6,100.0
5,FRIAR JOHN,4,4,100.0
5,FRIAR LAURENCE,14,14,25.454545454545453
5,JULIET,3,3,2.5423728813559325
5,LADY CAPULET,2,2,4.545454545454546
5,MONTAGUE,3,3,30.0
5,PAGE,4,4,100.0
5,PARIS,5,5,21.73913043478261
5,PRINCE,11,11,68.75
5,ROMEO,14,14,8.588957055214724
5,SECOND WATCHMAN,1,1,100.0
5,THIRD WATCHMAN,1,1,100.0
