Player,Line,PlayerLine,PlayerPercent,Rank,Are you OTHER
FRIAR LAURENCE,55,55,40.787355008439036,6,OTHER
CAPULET,50,50,33.960332841486775,7,OTHER
LADY CAPULET,44,44,26.567360477504906,8,OTHER
PARIS,23,23,19.35646627461769,9,OTHER
SAMPSON,20,20,8.47457627118644,10,OTHER
TYBALT,17,17,7.958358427256302,11,OTHER
PRINCE,16,16,14.9541856663512,12,OTHER
GREGORY,15,15,6.3559322033898304,13,OTHER
PETER,13,13,10.159066808059384,14,OTHER
BALTHASAR,12,12,13.636363636363635,15,OTHER
MONTAGUE,10,10,6.4590780036448106,16,OTHER
SERVANT,10,10,4.23728813559322,17,OTHER
FIRST MUSICIAN,9,9,7.82608695652174,18,OTHER
FIRST WATCHMAN,6,6,6.8181818181818175,19,OTHER
SECOND SERVANT,6,6,3.8798820928518793,20,OTHER
ABRAHAM,5,5,2.11864406779661,21,OTHER
APOTHECARY,4,4,4.545454545454546,22,OTHER
FIRST SERVANT,4,4,2.1407516580692705,23,OTHER
FRIAR JOHN,4,4,4.545454545454546,24,OTHER
PAGE,4,4,4.545454545454546,25,OTHER
FIRST CITIZEN,3,3,1.438957239955261,26,OTHER
SECOND MUSICIAN,3,3,2.608695652173913,27,OTHER
LADY MONTAGUE,2,2,0.847457627118644,28,OTHER
SECOND CAPULET,2,2,0.847457627118644,29,OTHER
CHORUS,1,1,0.4878048780487805,30,OTHER
LADY  CAPULET,1,1,0.8695652173913043,31,OTHER
MUSICIAN,1,1,0.8695652173913043,32,OTHER
RICHMOND,1,1,0.423728813559322,33,OTHER
SECOND WATCHMAN,1,1,1.1363636363636365,34,OTHER
THIRD MUSICIAN,1,1,0.8695652173913043,35,OTHER
THIRD WATCHMAN,1,1,1.1363636363636365,36,OTHER
