Act,Player,Line,PlayerLine,PlayerPercent,Rank
2,Romeo,65,65,31.70731707317073,1.0
1,Romeo,50,50,21.1864406779661,2.0
2,Juliet,40,40,19.51219512195122,3.0
3,Juliet,40,40,20.304568527918782,4.0
1,Benvolio,34,34,14.40677966101695,5.0
3,Romeo,34,34,17.258883248730964,6.0
2,Mercutio,34,34,16.585365853658537,7.0
2,Nurse,32,32,15.609756097560975,8.0
3,Nurse,27,27,13.705583756345177,9.0
1,Sampson,20,20,8.47457627118644,10.0
1,Nurse,20,20,8.47457627118644,11.0
4,Capulet,20,20,17.391304347826086,12.0
3,Lady capulet,19,19,9.644670050761421,13.0
4,Juliet,19,19,16.52173913043478,14.0
3,Mercutio,17,17,8.629441624365482,15.0
2,Benvolio,16,16,7.804878048780488,16.0
1,Juliet,16,16,6.779661016949152,17.0
1,Gregory,15,15,6.3559322033898304,18.0
3,Friar laurence,15,15,7.614213197969544,19.0
5,Friar laurence,14,14,15.909090909090908,20.0
2,Friar laurence,14,14,6.829268292682928,21.0
3,Benvolio,14,14,7.1065989847715745,22.0
1,Capulet,14,14,5.932203389830509,23.0
5,Romeo,14,14,15.909090909090908,24.0
4,Paris,13,13,11.304347826086957,25.0
3,Capulet,12,12,6.091370558375635,26.0
4,Friar laurence,12,12,10.434782608695652,27.0
5,Balthasar,12,12,13.636363636363635,28.0
1,Lady capulet,12,12,5.084745762711865,29.0
4,Lady capulet,11,11,9.565217391304348,30.0
1,Mercutio,11,11,4.661016949152542,31.0
4,Nurse,11,11,9.565217391304348,32.0
5,Prince,11,11,12.5,33.0
1,Servant,10,10,4.23728813559322,34.0
4,Peter,10,10,8.695652173913043,35.0
4,First musician,9,9,7.82608695652174,36.0
3,Tybalt,9,9,4.568527918781726,37.0
1,Tybalt,8,8,3.389830508474576,38.0
5,First watchman,6,6,6.8181818181818175,39.0
1,Montague,6,6,2.5423728813559325,40.0
5,Paris,5,5,5.681818181818182,41.0
1,Abraham,5,5,2.11864406779661,42.0
5,Apothecary,4,4,4.545454545454546,43.0
3,Prince,4,4,2.030456852791878,44.0
5,Capulet,4,4,4.545454545454546,45.0
5,Friar john,4,4,4.545454545454546,46.0
5,Page,4,4,4.545454545454546,47.0
5,Juliet,3,3,3.4090909090909087,48.0
1,First servant,3,3,1.2711864406779663,49.0
2,Peter,3,3,1.4634146341463417,50.0
1,Second servant,3,3,1.2711864406779663,51.0
3,Paris,3,3,1.5228426395939088,52.0
4,Second musician,3,3,2.608695652173913,53.0
5,Montague,3,3,3.4090909090909087,54.0
4,Second servant,3,3,2.608695652173913,55.0
1,Second capulet,2,2,0.847457627118644,56.0
5,Lady capulet,2,2,2.272727272727273,57.0
1,Paris,2,2,0.847457627118644,58.0
1,Lady montague,2,2,0.847457627118644,59.0
3,First citizen,2,2,1.015228426395939,60.0
1,First citizen,1,1,0.423728813559322,61.0
1,Richmond,1,1,0.423728813559322,62.0
2,Chorus,1,1,0.4878048780487805,63.0
3,Montague,1,1,0.5076142131979695,64.0
1,Prince,1,1,0.423728813559322,65.0
4,First servant,1,1,0.8695652173913043,66.0
4,Musician,1,1,0.8695652173913043,67.0
4,Lady  capulet,1,1,0.8695652173913043,68.0
4,Third musician,1,1,0.8695652173913043,69.0
5,Second watchman,1,1,1.1363636363636365,70.0
5,Third watchman,1,1,1.1363636363636365,71.0
