Act,Player,Line,PlayerLine,PlayerPercent,Rank
1,ROMEO,50,50,21.1864406779661,1.0
1,BENVOLIO,34,34,14.40677966101695,2.0
1,NURSE,20,20,8.47457627118644,3.0
1,SAMPSON,20,20,8.47457627118644,4.0
1,JULIET,16,16,6.779661016949152,5.0
1,GREGORY,15,15,6.3559322033898304,6.0
1,CAPULET,14,14,5.932203389830509,7.0
1,LADY CAPULET,12,12,5.084745762711865,8.0
1,MERCUTIO,11,11,4.661016949152542,9.0
1,SERVANT,10,10,4.23728813559322,10.0
1,TYBALT,8,8,3.389830508474576,11.0
1,MONTAGUE,6,6,2.5423728813559325,12.0
1,ABRAHAM,5,5,2.11864406779661,13.0
1,FIRST SERVANT,3,3,1.2711864406779663,14.0
1,SECOND SERVANT,3,3,1.2711864406779663,15.0
1,LADY MONTAGUE,2,2,0.847457627118644,16.0
1,PARIS,2,2,0.847457627118644,17.0
1,SECOND CAPULET,2,2,0.847457627118644,18.0
1,FIRST CITIZEN,1,1,0.423728813559322,19.0
1,PRINCE,1,1,0.423728813559322,20.0
1,RICHMOND,1,1,0.423728813559322,21.0
2,ROMEO,65,65,31.70731707317073,1.0
2,JULIET,40,40,19.51219512195122,2.0
2,MERCUTIO,34,34,16.585365853658537,3.0
2,NURSE,32,32,15.609756097560975,4.0
2,BENVOLIO,16,16,7.804878048780488,5.0
2,FRIAR LAURENCE,14,14,6.829268292682928,6.0
2,PETER,3,3,1.4634146341463417,7.0
2,CHORUS,1,1,0.4878048780487805,8.0
3,JULIET,40,40,20.304568527918782,1.0
3,ROMEO,34,34,17.258883248730964,2.0
3,NURSE,27,27,13.705583756345177,3.0
3,LADY CAPULET,19,19,9.644670050761421,4.0
3,MERCUTIO,17,17,8.629441624365482,5.0
3,FRIAR LAURENCE,15,15,7.614213197969544,6.0
3,BENVOLIO,14,14,7.1065989847715745,7.0
3,CAPULET,12,12,6.091370558375635,8.0
3,TYBALT,9,9,4.568527918781726,9.0
3,PRINCE,4,4,2.030456852791878,10.0
3,PARIS,3,3,1.5228426395939088,11.0
3,FIRST CITIZEN,2,2,1.015228426395939,12.0
3,MONTAGUE,1,1,0.5076142131979695,13.0
4,CAPULET,20,20,17.391304347826086,1.0
4,JULIET,19,19,16.52173913043478,2.0
4,PARIS,13,13,11.304347826086957,3.0
4,FRIAR LAURENCE,12,12,10.434782608695652,4.0
4,LADY CAPULET,11,11,9.565217391304348,5.0
4,NURSE,11,11,9.565217391304348,6.0
4,PETER,10,10,8.695652173913043,7.0
4,FIRST MUSICIAN,9,9,7.82608695652174,8.0
4,SECOND MUSICIAN,3,3,2.608695652173913,9.0
4,SECOND SERVANT,3,3,2.608695652173913,10.0
4,FIRST SERVANT,1,1,0.8695652173913043,11.0
4,LADY  CAPULET,1,1,0.8695652173913043,12.0
4,MUSICIAN,1,1,0.8695652173913043,13.0
4,THIRD MUSICIAN,1,1,0.8695652173913043,14.0
5,FRIAR LAURENCE,14,14,15.909090909090908,1.0
5,ROMEO,14,14,15.909090909090908,2.0
5,BALTHASAR,12,12,13.636363636363635,3.0
5,PRINCE,11,11,12.5,4.0
5,FIRST WATCHMAN,6,6,6.8181818181818175,5.0
5,PARIS,5,5,5.681818181818182,6.0
5,APOTHECARY,4,4,4.545454545454546,7.0
5,CAPULET,4,4,4.545454545454546,8.0
5,FRIAR JOHN,4,4,4.545454545454546,9.0
5,PAGE,4,4,4.545454545454546,10.0
5,JULIET,3,3,3.4090909090909087,11.0
5,MONTAGUE,3,3,3.4090909090909087,12.0
5,LADY CAPULET,2,2,2.272727272727273,13.0
5,SECOND WATCHMAN,1,1,1.1363636363636365,14.0
5,THIRD WATCHMAN,1,1,1.1363636363636365,15.0
