Player,Line,PlayerLine,PlayerPercent,Rank
ROMEO,163,163,86.0617319089587,1
JULIET,118,118,66.52725470634485,2
NURSE,90,90,47.35513351639694,3
BENVOLIO,64,64,29.318256694569012,4
MERCUTIO,62,62,29.87582442717656,5
FRIAR LAURENCE,55,55,40.787355008439036,6
CAPULET,50,50,33.960332841486775,7
LADY CAPULET,44,44,26.567360477504906,8
PARIS,23,23,19.35646627461769,9
SAMPSON,20,20,8.47457627118644,10
TYBALT,17,17,7.958358427256302,11
PRINCE,16,16,14.9541856663512,12
GREGORY,15,15,6.3559322033898304,13
PETER,13,13,10.159066808059384,14
BALTHASAR,12,12,13.636363636363635,15
MONTAGUE,10,10,6.4590780036448106,16
SERVANT,10,10,4.23728813559322,17
FIRST MUSICIAN,9,9,7.82608695652174,18
FIRST WATCHMAN,6,6,6.8181818181818175,19
SECOND SERVANT,6,6,3.8798820928518793,20
ABRAHAM,5,5,2.11864406779661,21
APOTHECARY,4,4,4.545454545454546,22
FIRST SERVANT,4,4,2.1407516580692705,23
FRIAR JOHN,4,4,4.545454545454546,24
PAGE,4,4,4.545454545454546,25
FIRST CITIZEN,3,3,1.438957239955261,26
SECOND MUSICIAN,3,3,2.608695652173913,27
LADY MONTAGUE,2,2,0.847457627118644,28
SECOND CAPULET,2,2,0.847457627118644,29
CHORUS,1,1,0.4878048780487805,30
LADY  CAPULET,1,1,0.8695652173913043,31
MUSICIAN,1,1,0.8695652173913043,32
RICHMOND,1,1,0.423728813559322,33
SECOND WATCHMAN,1,1,1.1363636363636365,34
THIRD MUSICIAN,1,1,0.8695652173913043,35
THIRD WATCHMAN,1,1,1.1363636363636365,36
