Act,Player,Line,PlayerLine,PlayerPercent,Rank,Are you OTHER
1,OTHER,15,15,100.0,6.0,OTHER
1,OTHER,14,14,28.000000000000004,7.0,OTHER
1,OTHER,12,12,27.27272727272727,8.0,OTHER
1,OTHER,11,11,17.741935483870968,9.0,OTHER
1,OTHER,10,10,100.0,10.0,OTHER
1,OTHER,8,8,47.05882352941176,11.0,OTHER
1,OTHER,6,6,60.0,12.0,OTHER
1,OTHER,5,5,100.0,13.0,OTHER
1,OTHER,3,3,75.0,14.0,OTHER
1,OTHER,3,3,50.0,15.0,OTHER
1,OTHER,2,2,100.0,16.0,OTHER
1,OTHER,2,2,8.695652173913043,17.0,OTHER
1,OTHER,2,2,100.0,18.0,OTHER
1,OTHER,1,1,33.33333333333333,19.0,OTHER
1,OTHER,1,1,6.25,20.0,OTHER
1,OTHER,1,1,100.0,21.0,OTHER
2,OTHER,14,14,25.454545454545453,6.0,OTHER
2,OTHER,3,3,23.076923076923077,7.0,OTHER
2,OTHER,1,1,100.0,8.0,OTHER
3,OTHER,15,15,27.27272727272727,6.0,OTHER
3,OTHER,14,14,21.875,7.0,OTHER
3,OTHER,12,12,24.0,8.0,OTHER
3,OTHER,9,9,52.94117647058824,9.0,OTHER
3,OTHER,4,4,25.0,10.0,OTHER
3,OTHER,3,3,13.043478260869565,11.0,OTHER
3,OTHER,2,2,66.66666666666666,12.0,OTHER
3,OTHER,1,1,10.0,13.0,OTHER
4,OTHER,11,11,12.222222222222221,6.0,OTHER
4,OTHER,10,10,76.92307692307693,7.0,OTHER
4,OTHER,9,9,100.0,8.0,OTHER
4,OTHER,3,3,100.0,9.0,OTHER
4,OTHER,3,3,50.0,10.0,OTHER
4,OTHER,1,1,25.0,11.0,OTHER
4,OTHER,1,1,100.0,12.0,OTHER
4,OTHER,1,1,100.0,13.0,OTHER
4,OTHER,1,1,100.0,14.0,OTHER
5,OTHER,5,5,21.73913043478261,6.0,OTHER
5,OTHER,4,4,100.0,7.0,OTHER
5,OTHER,4,4,8.0,8.0,OTHER
5,OTHER,4,4,100.0,9.0,OTHER
5,OTHER,4,4,100.0,10.0,OTHER
5,OTHER,3,3,2.5423728813559325,11.0,OTHER
5,OTHER,3,3,30.0,12.0,OTHER
5,OTHER,2,2,4.545454545454546,13.0,OTHER
5,OTHER,1,1,100.0,14.0,OTHER
5,OTHER,1,1,100.0,15.0,OTHER
