Act,Player,Line,PlayerLine,PlayerPercent
1,BENVOLIO,34,34,53.125
1,JULIET,16,16,13.55932203
1,NURSE,20,20,22.22222222
1,OTHER,96,96,953.3524718
1,ROMEO,50,50,30.67484663
1,SAMPSON,20,20,100
2,BENVOLIO,16,16,25
2,JULIET,40,40,33.89830508
2,MERCUTIO,34,34,54.83870968
2,NURSE,32,32,35.55555556
2,OTHER,18,18,148.5314685
2,ROMEO,65,65,39.87730061
3,JULIET,40,40,33.89830508
3,LADY CAPULET,19,19,43.18181818
3,MERCUTIO,17,17,27.41935484
3,NURSE,27,27,30
3,OTHER,60,60,240.7990487
3,ROMEO,34,34,20.85889571
4,CAPULET,20,20,40
4,FRIAR LAURENCE,12,12,21.81818182
4,JULIET,19,19,16.10169492
4,LADY CAPULET,11,11,25
4,OTHER,40,40,664.1452991
4,PARIS,13,13,56.52173913
5,BALTHASAR,12,12,100
5,FIRST WATCHMAN,6,6,100
5,FRIAR LAURENCE,14,14,25.45454545
5,OTHER,31,31,566.8269579
5,PRINCE,11,11,68.75
5,ROMEO,14,14,8.588957055
