Act,Player,Line
1,ABRAHAM,5
1,BENVOLIO,34
1,CAPULET,14
1,FIRST CITIZEN,1
1,FIRST SERVANT,3
1,GREGORY,15
1,JULIET,16
1,LADY CAPULET,12
1,LADY MONTAGUE,2
1,MERCUTIO,11
1,MONTAGUE,6
1,NURSE,20
1,PARIS,2
1,PRINCE,1
1,RICHMOND,1
1,ROMEO,50
1,SAMPSON,20
1,SECOND CAPULET,2
1,SECOND SERVANT,3
1,SERVANT,10
1,TYBALT,8
2,BENVOLIO,16
2,CHORUS,1
2,FRIAR LAURENCE,14
2,JULIET,40
2,MERCUTIO,34
2,NURSE,32
2,PETER,3
2,ROMEO,65
3,BENVOLIO,14
3,CAPULET,12
3,FIRST CITIZEN,2
3,FRIAR LAURENCE,15
3,JULIET,40
3,LADY CAPULET,19
3,MERCUTIO,17
3,MONTAGUE,1
3,NURSE,27
3,PARIS,3
3,PRINCE,4
3,ROMEO,34
3,TYBALT,9
4,CAPULET,20
4,FIRST MUSICIAN,9
4,FIRST SERVANT,1
4,FRIAR LAURENCE,12
4,JULIET,19
4,LADY  CAPULET,1
4,LADY CAPULET,11
4,MUSICIAN,1
4,NURSE,11
4,PARIS,13
4,PETER,10
4,SECOND MUSICIAN,3
4,SECOND SERVANT,3
4,THIRD MUSICIAN,1
5,APOTHECARY,4
5,BALTHASAR,12
5,CAPULET,4
5,FIRST WATCHMAN,6
5,FRIAR JOHN,4
5,FRIAR LAURENCE,14
5,JULIET,3
5,LADY CAPULET,2
5,MONTAGUE,3
5,PAGE,4
5,PARIS,5
5,PRINCE,11
5,ROMEO,14
5,SECOND WATCHMAN,1
5,THIRD WATCHMAN,1
