,Date_Plantation,0
0,2010-03-31,9
1,2010-04-01,6
2,2010-04-06,8
3,2010-04-07,3
4,2010-04-08,4
5,2010-04-12,4
6,2010-04-13,9
7,2010-04-14,4
8,2010-04-15,10
9,2010-04-19,7
10,2010-04-20,10
11,2010-04-21,7
12,2010-04-26,8
13,2010-04-27,7
14,2010-04-28,4
15,2010-04-29,9
16,2010-05-03,8
17,2010-05-04,7
18,2010-05-05,9
19,2010-05-06,9
20,2010-05-10,6
21,2010-05-11,9
22,2010-05-12,8
23,2010-05-13,8
24,2010-05-17,1
25,2010-05-18,6
26,2010-05-19,4
27,2010-05-20,4
28,2010-05-25,7
29,2010-05-26,6
30,2010-05-27,5
31,2010-05-29,1
32,2010-05-31,3
33,2010-06-01,5
34,2010-06-02,6
35,2010-06-03,5
36,2010-06-07,5
37,2010-06-08,15
38,2010-06-09,7
39,2010-06-10,4
40,2010-06-15,3
41,2010-06-30,5
42,2010-07-05,5
43,2010-09-15,14
44,2010-09-20,9
45,2010-09-21,3
46,2010-09-22,8
47,2010-09-23,6
48,2010-09-27,8
49,2010-09-28,3
50,2010-09-29,6
51,2010-09-30,3
52,2010-10-04,4
53,2010-10-05,3
54,2010-10-06,2
55,2010-10-07,6
56,2010-10-12,5
57,2010-10-14,5
58,2010-10-18,3
59,2010-10-19,7
60,2010-10-20,5
61,2010-10-21,7
62,2010-10-26,6
63,2010-10-27,4
64,2010-10-28,5
65,2010-11-02,4
66,2010-11-03,5
67,2010-11-04,4
68,2010-11-08,5
69,2010-11-09,4
70,2010-11-10,5
71,2010-11-11,5
72,2010-11-15,4
73,2010-11-16,4
74,2010-11-18,5
