,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts
Date_Plantation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Arrond_Nom,,,,,,,,,,,
Ahuntsic - Cartierville,437.0,289.0,327.0,357.0,466.0,903.0,1028.0,936.0,815.0,851.0,144.0
Côte-des-Neiges - Notre-Dame-de-Grâce,401.0,108.0,458.0,395.0,378.0,606.0,474.0,803.0,623.0,685.0,79.0
LaSalle,1.0,147.0,522.0,0.0,0.0,0.0,120.0,336.0,48.0,1175.0,0.0
Le Plateau-Mont-Royal,278.0,283.0,410.0,314.0,381.0,378.0,526.0,383.0,347.0,544.0,0.0
Le Sud-Ouest,388.0,248.0,738.0,386.0,441.0,548.0,341.0,491.0,543.0,479.0,211.0
Mercier - Hochelaga-Maisonneuve,115.0,130.0,355.0,494.0,390.0,512.0,1280.0,395.0,303.0,663.0,172.0
Pierrefonds - Roxboro,1010.0,3.0,84.0,20.0,207.0,302.0,677.0,475.0,507.0,553.0,0.0
Rivière-des-Prairies - Pointe-aux-Trembles,272.0,333.0,212.0,287.0,535.0,576.0,459.0,783.0,553.0,529.0,110.0
Rosemont - La Petite-Patrie,290.0,266.0,372.0,338.0,493.0,560.0,914.0,629.0,598.0,654.0,336.0
Saint-Laurent,4.0,2.0,24.0,385.0,347.0,29.0,1.0,0.0,0.0,0.0,0.0
Saint-Léonard,68.0,67.0,163.0,355.0,306.0,451.0,583.0,416.0,301.0,300.0,0.0
Verdun,0.0,0.0,0.0,0.0,8.0,1.0,18.0,35.0,289.0,33.0,0.0
Ville-Marie,270.0,260.0,360.0,477.0,678.0,710.0,1083.0,1026.0,540.0,985.0,49.0
Villeray-Saint-Michel - Parc-Extension,331.0,217.0,348.0,392.0,441.0,700.0,861.0,1326.0,733.0,1117.0,2.0
