,Arrond_Nom,Date_Plantation,Counts
0,Ahuntsic - Cartierville,2010,437
1,Ahuntsic - Cartierville,2011,289
2,Ahuntsic - Cartierville,2012,327
3,Ahuntsic - Cartierville,2013,357
4,Ahuntsic - Cartierville,2014,466
5,Ahuntsic - Cartierville,2015,903
6,Ahuntsic - Cartierville,2016,1028
7,Ahuntsic - Cartierville,2017,936
8,Ahuntsic - Cartierville,2018,815
9,Ahuntsic - Cartierville,2019,851
10,Ahuntsic - Cartierville,2020,144
11,Côte-des-Neiges - Notre-Dame-de-Grâce,2010,401
12,Côte-des-Neiges - Notre-Dame-de-Grâce,2011,108
13,Côte-des-Neiges - Notre-Dame-de-Grâce,2012,458
14,Côte-des-Neiges - Notre-Dame-de-Grâce,2013,395
15,Côte-des-Neiges - Notre-Dame-de-Grâce,2014,378
16,Côte-des-Neiges - Notre-Dame-de-Grâce,2015,606
17,Côte-des-Neiges - Notre-Dame-de-Grâce,2016,474
18,Côte-des-Neiges - Notre-Dame-de-Grâce,2017,803
19,Côte-des-Neiges - Notre-Dame-de-Grâce,2018,623
20,Côte-des-Neiges - Notre-Dame-de-Grâce,2019,685
21,Côte-des-Neiges - Notre-Dame-de-Grâce,2020,79
22,LaSalle,2010,1
23,LaSalle,2011,147
24,LaSalle,2012,522
25,LaSalle,2016,120
26,LaSalle,2017,336
27,LaSalle,2018,48
28,LaSalle,2019,1175
29,Le Plateau-Mont-Royal,2010,278
30,Le Plateau-Mont-Royal,2011,283
31,Le Plateau-Mont-Royal,2012,410
32,Le Plateau-Mont-Royal,2013,314
33,Le Plateau-Mont-Royal,2014,381
34,Le Plateau-Mont-Royal,2015,378
35,Le Plateau-Mont-Royal,2016,526
36,Le Plateau-Mont-Royal,2017,383
37,Le Plateau-Mont-Royal,2018,347
38,Le Plateau-Mont-Royal,2019,544
39,Le Sud-Ouest,2010,388
40,Le Sud-Ouest,2011,248
41,Le Sud-Ouest,2012,738
42,Le Sud-Ouest,2013,386
43,Le Sud-Ouest,2014,441
44,Le Sud-Ouest,2015,548
45,Le Sud-Ouest,2016,341
46,Le Sud-Ouest,2017,491
47,Le Sud-Ouest,2018,543
48,Le Sud-Ouest,2019,479
49,Le Sud-Ouest,2020,211
50,Mercier - Hochelaga-Maisonneuve,2010,115
51,Mercier - Hochelaga-Maisonneuve,2011,130
52,Mercier - Hochelaga-Maisonneuve,2012,355
53,Mercier - Hochelaga-Maisonneuve,2013,494
54,Mercier - Hochelaga-Maisonneuve,2014,390
55,Mercier - Hochelaga-Maisonneuve,2015,512
