,Arrond,Arrond_Nom,Date_Plantation,Longitude,Latitude
85,1,Ahuntsic - Cartierville,2015-11-23,-73.642876,45.570771
127,1,Ahuntsic - Cartierville,2017-10-04,-73.672107,45.54721
201,1,Ahuntsic - Cartierville,2018-09-13,-73.725863,45.532891
202,1,Ahuntsic - Cartierville,2018-09-13,-73.725632,45.532752
204,1,Ahuntsic - Cartierville,2018-09-13,-73.725408,45.532729
224,1,Ahuntsic - Cartierville,2018-09-13,-73.725114,45.533507
225,1,Ahuntsic - Cartierville,2018-09-13,-73.725205,45.533543
227,1,Ahuntsic - Cartierville,2018-09-13,-73.725113,45.533727
228,1,Ahuntsic - Cartierville,2018-09-13,-73.724963,45.533757
257,1,Ahuntsic - Cartierville,2018-06-26,-73.652177,45.561088
259,1,Ahuntsic - Cartierville,2018-06-26,-73.652072,45.561073
313,1,Ahuntsic - Cartierville,2019-11-08,-73.635601,45.551215
366,1,Ahuntsic - Cartierville,2011-10-06,-73.665133,45.555246
367,1,Ahuntsic - Cartierville,2011-10-06,-73.665059,45.555187
375,1,Ahuntsic - Cartierville,2012-11-05,-73.663826,45.563986
376,1,Ahuntsic - Cartierville,2012-11-05,-73.663838,45.563918
379,1,Ahuntsic - Cartierville,2018-10-05,-73.642752,45.571419
380,1,Ahuntsic - Cartierville,2015-11-24,-73.642828,45.571334
381,1,Ahuntsic - Cartierville,2018-10-05,-73.642925,45.571158
383,1,Ahuntsic - Cartierville,2012-09-17,-73.706057,45.528869
385,1,Ahuntsic - Cartierville,2016-06-19,-73.706532,45.528629
431,1,Ahuntsic - Cartierville,2018-10-05,-73.642274,45.571348
437,1,Ahuntsic - Cartierville,2015-11-25,-73.641954,45.571011
448,1,Ahuntsic - Cartierville,2012-11-05,-73.663428,45.563811
474,1,Ahuntsic - Cartierville,2018-10-09,-73.636154,45.556387
475,1,Ahuntsic - Cartierville,2018-10-09,-73.634108,45.556898
476,1,Ahuntsic - Cartierville,2018-10-09,-73.635555,45.555434
477,1,Ahuntsic - Cartierville,2018-10-09,-73.634841,45.556321
478,1,Ahuntsic - Cartierville,2018-10-09,-73.634094,45.556097
479,1,Ahuntsic - Cartierville,2018-10-09,-73.635613,45.555672
480,1,Ahuntsic - Cartierville,2018-10-09,-73.635566,45.555596
481,1,Ahuntsic - Cartierville,2018-10-09,-73.634199,45.556223
482,1,Ahuntsic - Cartierville,2018-10-09,-73.634365,45.556204
483,1,Ahuntsic - Cartierville,2018-10-09,-73.633828,45.556511
486,1,Ahuntsic - Cartierville,2018-10-09,-73.633726,45.556651
488,1,Ahuntsic - Cartierville,2018-10-05,-73.641235,45.570841
489,1,Ahuntsic - Cartierville,2018-10-05,-73.641369,45.570737
490,1,Ahuntsic - Cartierville,2015-11-25,-73.642183,45.571034
491,1,Ahuntsic - Cartierville,2018-10-05,-73.64164,45.570692
492,1,Ahuntsic - Cartierville,2018-10-05,-73.641516,45.570211
493,1,Ahuntsic - Cartierville,2018-10-05,-73.642047,45.570633
494,1,Ahuntsic - Cartierville,2018-10-05,-73.643305,45.570609
495,1,Ahuntsic - Cartierville,2018-10-05,-73.643174,45.571037
496,1,Ahuntsic - Cartierville,2015-11-24,-73.643626,45.570168
505,1,Ahuntsic - Cartierville,2010-06-10,-73.667604,45.555193
506,1,Ahuntsic - Cartierville,2010-06-10,-73.66755,45.555171
517,1,Ahuntsic - Cartierville,2014-10-28,-73.650768,45.560661
541,1,Ahuntsic - Cartierville,2010-07-05,-73.704366,45.534634
561,1,Ahuntsic - Cartierville,2014-10-30,-73.653086,45.570992
562,1,Ahuntsic - Cartierville,2011-09-27,-73.653195,45.571037
563,1,Ahuntsic - Cartierville,2011-09-27,-73.653251,45.571073
567,1,Ahuntsic - Cartierville,2014-10-30,-73.653488,45.571145
581,1,Ahuntsic - Cartierville,2011-10-06,-73.663328,45.556851
599,1,Ahuntsic - Cartierville,2017-09-28,-73.662255,45.556497
605,1,Ahuntsic - Cartierville,2017-10-04,-73.661818,45.556592
620,1,Ahuntsic - Cartierville,2011-10-27,-73.664435,45.543545
623,1,Ahuntsic - Cartierville,2011-10-27,-73.664609,45.543679
658,1,Ahuntsic - Cartierville,2010-09-29,-73.665716,45.541226
